g_right,x_right,g_left,x_left
1,0.00025,0,0
0.908006,0.000250232,0.01,7.73376e-06
0.830585,0.000250886,0.02,1.50696e-05
0.738107,0.000252392,0.03,2.20177e-05
0.650953,0.000255179,0.04,2.85882e-05
0.612598,0.000259677,0.0501042,3.47914e-05
0.543756,0.000266317,0.0625556,4.06375e-05
0.472283,0.000275528,0.0749375,4.61367e-05
0.413293,0.00028774,0.0870317,5.12991e-05
0.357786,0.000303384,0.0970317,5.61351e-05
0.296668,0.000322889,0.11157,6.06547e-05
0.248485,0.000346685,0.127747,6.48682e-05
0.209835,0.000375203,0.230628,6.87858e-05
0.162561,0.000408871,0.248823,7.24177e-05
0.130955,0.000448121,0.269329,7.57741e-05
0.103175,0.000493383,0.44018,7.88653e-05
0.0802802,0.000545085,0.462538,8.17013e-05
0.0617652,0.000603658,0.486289,8.42925e-05
0.0450615,0.000669533,0.515618,8.6649e-05
0.0436687,0.000743139,0.609838,8.8781e-05
0.0321355,0.000824905,0.638528,9.06987e-05
0.0227003,0.000915263,0.671431,9.24124e-05
0.0154433,0.00101464,0.707209,9.39322e-05
0.00970616,0.00112347,0.738847,9.52684e-05
0.00559785,0.00124218,0.77767,9.64311e-05
0.00294276,0.0013712,0.813502,9.74306e-05
0.00102963,0.00151097,0.853406,9.8277e-05
5.35431e-05,0.0016619,0.894598,9.89806e-05
1.17605e-05,0.00182443,0.937391,9.95515e-05
0,0.001999,1,0.0001
